id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001331658,4992.1001,rent,2021-09-30T14:31:12,,-1,870,,,,38,,Rorschacherstrasse 165,St. Gallen,9000,"Rorschacherstrasse 165, 9000 St. Gallen",,
3001373894,"SG-Teufenerstrasse 12, 2 ZWG 3.OG-003.886548.3b6587de-1d2b-11ec-842e-005056bdbc06",rent,2021-09-30T14:31:12,,3,900,,,,,,Teufener Strasse 12,St. Gallen,9000,"Teufener Strasse 12, 9000 St. Gallen",POINT (9.370946884155273 47.42055130004883),1072314_0
3000700663,4548.01.0101,rent,2021-09-30T14:31:12,,1,740,,,,47,,Teufenerstrasse 62,St. Gallen,9000,"Teufenerstrasse 62, 9000 St. Gallen",,
3001315318,874727.0b738b2c-0b0f-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12,,GF,990,140,850,,42,,Burgstrasse 19,St. Gallen,9000,"Burgstrasse 19, 9000 St. Gallen",POINT (9.36352825164795 47.41939163208008),1071050_0
3001029335,4548.01.0202,rent,2021-09-30T14:31:12,,2,790,,,,47,,Teufenerstrasse 62,St. Gallen,9000,"Teufenerstrasse 62, 9000 St. Gallen",,
3000428258,ZXW251OG9000,rent,2021-09-30T14:31:12,,1,810,,,,,,Teufenerstrasse 88,St. Gallen,9000,"Teufenerstrasse 88, 9000 St. Gallen",,
3001342543,47371631,rent,2021-09-30T14:31:12,,,1850,,,,,,Kesselhaldenstrasse 25 St. Gallen,St. Gallen,9016,"Kesselhaldenstrasse 25 St. Gallen, 9016 St. Gallen",POINT (9.40241527557373 47.440574645996094),1076905_0
3001307270,983484.873398.110c47e1-08be-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12,,2,850,,,,,,St. Georgenstrasse 36,St. Gallen,9000,"St. Georgenstrasse 36, 9000 St. Gallen",,
3001374163,47613410,rent,2021-09-30T14:31:12,,,1825,,,,115,,Schönbüelpark 7,St. Gallen,9016,"Schönbüelpark 7, 9016 St. Gallen",POINT (9.41225528717041 47.44101333618164),190425694_0
3001382303,47688267,rent,2021-09-30T14:31:12,,,1730,,,,135,,Kesselhaldenstrasse 6,St. Gallen,9016,"Kesselhaldenstrasse 6, 9016 St. Gallen",POINT (9.40322494506836 47.43846893310547),1076912_0
3001370273,83565.01.0103,rent,2021-09-30T14:31:12,,1,840,,,,36,,Höhenweg 11,St. Gallen,9000,"Höhenweg 11, 9000 St. Gallen",POINT (9.372541427612305 47.42961502075195),1073085_0
3001258284,46798426,rent,2021-09-30T14:31:12,,,1652,,,,120,,Martinsbruggstrasse 35,St. Gallen,9016,"Martinsbruggstrasse 35, 9016 St. Gallen",POINT (9.409819602966309 47.43665313720703),1076659_0
3001136358,5552.goldinger.SM408.1106,rent,2021-09-30T14:31:12,,2,880,,,,,,Fähnernstrasse 3,St. Gallen,9000,"Fähnernstrasse 3, 9000 St. Gallen",POINT (9.362982749938965 47.41105270385742),1071458_0
3001056540,828934.85c7940b-ae48-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:12,,3,780,,,,,,Brunnenbergstrasse 12,St. Gallen,9000,"Brunnenbergstrasse 12, 9000 St. Gallen",POINT (9.382536888122559 47.42389678955078),1073481_0
3001302459,46160687,rent,2021-09-30T14:31:12,,,1630,,,,80,,Rorschacher Strasse 279a,St. Gallen,9016,"Rorschacher Strasse 279a, 9016 St. Gallen",POINT (9.412031173706055 47.441810607910156),2363824_2
3001344847,1058.1501.879674.2a4dde99-147f-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12,,5,1030,140,890,,,1973,Rorschacherstrasse 50a,St. Gallen,9000,"Rorschacherstrasse 50a, 9000 St. Gallen",,
3001010961,ZXW25DM9000,rent,2021-09-30T14:31:13,,2,960,,,,,,Teufenerstrasse 88,St. Gallen,9000,"Teufenerstrasse 88, 9000 St. Gallen",,
3001287409,42105.01.10001,rent,2021-09-30T14:31:13,,GF,950,,,,38,,Burgstrasse 134,St. Gallen,9000,"Burgstrasse 134, 9000 St. Gallen",POINT (9.351835250854492 47.417762756347656),2363111_0
3001330259,2560-9.875828.99a5fe64-0c7b-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:13,,,950,,,,42,2022,Ahornstrasse 60,St. Gallen,9000,"Ahornstrasse 60, 9000 St. Gallen",POINT (9.350454330444336 47.41276550292969),191862082_0
3000780700,xupkr.x371g,rent,2021-09-30T14:31:13,,2,1120,150,970,,85,1980,Oberstrasse 123,St. Gallen,9000,"Oberstrasse 123, 9000 St. Gallen",POINT (9.359126091003418 47.414710998535156),1069843_0
3001365731,884419.dca29b65-1ae8-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:13,,4,1100,100,1000,,35,,Linsebühlstrasse 32,St. Gallen,9000,"Linsebühlstrasse 32, 9000 St. Gallen",POINT (9.38195514678955 47.424461364746094),1073551_0
3001378045,31.90.887382.5cde7444-1f7e-11ec-842e-005056bdbc06,rent,2021-09-30T14:31:13,,1,950,,,,45,,Torstrasse 20,St. Gallen,9000,"Torstrasse 20, 9000 St. Gallen",POINT (9.377815246582031 47.428035736083984),1072848_0
3001146643,142_1_202.800510.10935909-8029-11eb-8e73-005056bdbc06,rent,2021-09-30T14:31:13,,2,900,,,,57,,Paradiesstrasse 29,St. Gallen,9000,"Paradiesstrasse 29, 9000 St. Gallen",POINT (9.362058639526367 47.417762756347656),1070997_0
3001166251,2016.1.1401,rent,2021-09-30T14:31:13,,4,900,,,,,1931,Schönaustrasse 79,St. Gallen,9000,"Schönaustrasse 79, 9000 St. Gallen",POINT (9.34809398651123 47.4168701171875),1070306_0
3001366173,unusgrande2,rent,2021-09-30T14:31:13,,,980,,,,42,2021,Brauerstrasse 21 / 23,St. Gallen,9000,"Brauerstrasse 21 / 23, 9000 St. Gallen",,
3001372850,195901.01.00001,rent,2021-09-30T14:31:13,,GF,990,,,,40,1934,Winkelriedstr. 17,St. Gallen,9000,"Winkelriedstr. 17, 9000 St. Gallen",POINT (9.368680953979492 47.42497253417969),1071243_0
3001310138,148101.01.00201,rent,2021-09-30T14:31:13,,2,900,,,,62,1958,St. Georgen-Str. 39,St. Gallen,9000,"St. Georgen-Str. 39, 9000 St. Gallen",POINT (9.379013061523438 47.419559478759766),1073294_0
3001262175,A8879,rent,2021-09-30T14:31:13,,2,900,,,,70,,Burgstrasse 66,St. Gallen,9000,"Burgstrasse 66, 9000 St. Gallen",POINT (9.357955932617188 47.41739273071289),1070218_0
3001002965,011299_1,rent,2021-09-30T14:31:13,,,1090,,,,59,1920,Teufenerstrasse 170,St. Gallen,9000,"Teufenerstrasse 170, 9000 St. Gallen",,
3001366182,unusgrande,rent,2021-09-30T14:31:13,,,950,,,,36,2021,Brauerstrasse 21 / 23,St. Gallen,9000,"Brauerstrasse 21 / 23, 9000 St. Gallen",,
