id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001261017,3935.3032,rent,2021-10-12T19:05:09,,3,1080,,,,57,1920,Kolumbanstrasse 36,St. Gallen,9008,47.4381294250488,9.39186096191406,POINT (9.391860961914062 47.43812942504883),1074968,0.0806451612903226
3001262175,A8879,rent,2021-10-12T23:30:45,,2,900,,,,70,,Burgstrasse 66,St. Gallen,9000,47.4173927307129,9.35795593261719,POINT (9.357955932617188 47.41739273071289),1070218,0.0606060606060606
3001262720,4bs5d.os1e3,rent,2021-10-12T19:52:22,,1,1650,250,1400,,104,1894,Wildeggstrasse 25,St. Gallen,9000,47.4238510131836,9.38372230529785,POINT (9.383722305297852 47.423851013183594),1073429,0.04
3001264914,Domänenstrasse.2.9,rent,2021-10-12T19:53:37,,4,1000,,,,75,,Domänenstrasse 2,St. Gallen,9008,47.4405937194824,9.39426136016846,POINT (9.394261360168457 47.44059371948242),1075136,0.209677419354839
3001270299,16401.02.410020,rent,2021-10-12T19:38:47,,1,1200,200,1000,,74,1951,Falkensteinstrasse 10,St. Gallen,9000,47.4299011230469,9.39220905303955,POINT (9.39220905303955 47.429901123046875),1075963,0.0
3001251815,7145.2531,rent,2021-10-12T23:29:26,,3,1460,,,,60,2018,St. Georgenstrasse 159a,St. Gallen,9011,,,POINT(9.39127451203533 47.414911714365),191606858,0.0476190476190477
3001260766,28945540,rent,2021-10-12T23:30:41,,,1390,,,,79,,Reherstr.22 c,St. Gallen,9016,,,POINT(9.41759790776567 47.4373611282808),,
3001262225,1060.174.1101.866335.31df7996-f9cb-11eb-8985-005056bdbc06,rent,2021-10-12T19:54:50,,GF,840,,,,56,,Teufenerstrasse 72,St. Gallen,9012,,,POINT(9.36932501741954 47.4057798649364),,
3001265958,54613.01.0501,rent,2021-10-12T19:07:38,,5,660,,,,70,1919,Sägegässli 20,St. Gallen,9000,,,POINT(9.38340142334562 47.4250760151038),1073587,0.0
3001274608,1C91,rent,2021-10-12T20:45:45,,1,1530,,,,92,2012,Zweibruggenmühlestrasse 7,St. Gallen,9014,47.4072647094727,9.32735157012939,POINT (9.327351570129395 47.407264709472656),190608318,0.0337078651685394
3001277024,1020.181.1103.868616.a302c171-ff2c-11eb-bf79-005056bdbc06,rent,2021-10-13T07:27:25,,1,1210,,,,70,,Unterer Graben 39,St. Gallen,9000,47.4283866882324,9.37582015991211,POINT (9.37582015991211 47.42838668823242),1073030,0.0277777777777778
3001279168,55415.03.0103,rent,2021-10-12T19:07:48,,1,1370,,,,73,2019,Haggenstr. 86,St. Gallen,9014,47.4040832519531,9.33809375762939,POINT (9.338093757629395 47.404083251953125),191671474,0.0
3001279170,53209.01.0201,rent,2021-10-12T19:06:28,,2,1500,,,,,1953,Leimatstr. 26,St. Gallen,9000,47.4325866699219,9.38094425201416,POINT (9.38094425201416 47.432586669921875),1073177,
3001279201,12103.02.10204,rent,2021-10-12T23:17:47,,2,1520,300,1220,,94,,Sonnenhaldenstrasse 10a,St. Gallen,9008,47.4417457580566,9.39127922058105,POINT (9.391279220581055 47.44174575805664),1075166,0.104761904761905
